Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
4251,0.01735934412158685,0.04306202205415769,0.03488292612897331,0.009790822568945685,0.39947622951143574,0.39947622951143574,0.0,0.0
4252,0.004853083222963362,0.004465436770300531,0.001961516333286177,0.00020973919605255033,0.00020973919605255033,0.00020973919605255033,0.0,0.007819504459299133
4253,0.017194863153948522,0.004462310165808676,0.008358868790079733,0.0070281185020581675,0.005785973821043041,0.005785973821043041,0.015767315858316675,0.03170885972733814
4254,0.0,0.012045132289868915,0.0010853148002784307,0.00013561970806976338,0.00013561970806976338,0.00013561970806976338,0.0,0.0
4255,0.004873122819294683,0.02647398041533627,0.0022260712594234246,0.0012133665082794615,0.0012133665082794615,0.0012133665082794615,0.0,0.0
4256,0.4215294903725928,0.40861367277974886,0.40345034154962783,0.4043468926132547,0.4043468926132547,0.4043468926132547,0.3955413236530466,0.3955413236530466
4257,0.008340776816339504,0.01910323975175835,0.00117743746253245,0.00013221269891672347,0.0012067673530845025,0.0012067673530845025,0.0,0.0
4258,0.0,0.012045132289868915,0.0010853148002784307,0.00013561970806976338,0.00013561970806976338,0.00013561970806976338,0.0,0.0
4259,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.00029805036099369095,0.00029805036099369095,0.00029805036099369095,0.0,0.0
4260,0.0,0.0022224421620449684,0.0022224421620449684,0.00024367465754749417,0.00024367465754749417,0.00024367465754749417,0.0,0.0
4261,0.004748088415443274,0.036176753110700025,0.0015284468095710865,0.0001083011126038656,0.0001083011126038656,0.0001083011126038656,0.0,0.0
4262,0.0559272678172325,0.03846465636867104,0.44644223362408664,0.0655074791204924,0.4488558237651702,0.4488558237651702,0.2334901302197785,0.0
4263,0.0072315692310758635,0.4172599414408887,0.004324802346333293,0.0041866142894951466,0.0041866142894951466,0.004186598212964954,0.0,0.0489096004809464
4264,0.2366867999814327,0.34541398391469147,0.3853428901427819,0.34877714769792756,0.3673245941955334,0.04771290508331028,0.01072640659305833,0.18183832298581298
4265,0.0,0.0022224421620449684,0.0022224421620449684,0.0007174421392058368,0.00024367465754749417,0.00024367465754749417,0.0,0.0
4266,0.015064512742193671,0.0022238379698092457,0.0022720757327089236,0.0020948819007692407,0.002536674922734551,0.002536674922734551,0.0,0.0
4267,0.0014131205616237726,0.00558843327727709,0.00558843327727709,0.007609232490000978,0.00760933284704895,0.00760933284704895,0.0,0.010053664663923084
4268,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.00029805036099369095,0.00029805036099369095,0.00029805036099369095,0.0,0.0
4269,0.006465541662623988,0.035314911612716195,0.0005488234655184055,0.0007275128285899078,0.00026498759431035354,0.00026498759431035354,0.0,0.0
4270,0.06541097814372027,0.05287166867155687,0.4859932729002036,0.02445035982627751,0.02445035982627751,0.02445035982627751,0.0,0.0
4271,0.0038420662943940928,0.02590490023233289,0.0005664457299618018,0.0011710236850865459,0.0011710236850865459,0.0011710236850865459,0.0,0.0
4272,0.014487547186347073,0.025908138496508214,0.01063398407385638,0.007806928840509952,0.006758931715806727,0.006758931715806727,0.0,0.0
4273,0.007231569231075703,0.021363042701795433,0.0021656672181143925,0.004425187052843106,0.004425187052843106,0.004425187052843106,0.0,0.01072640659305833
4274,0.001480446554630774,0.4352729876808325,0.037484196864627436,0.0016284012398951413,0.0012641161892286228,0.0012641161892286228,0.009218530029378632,0.0
4275,0.0,0.019104077232527907,0.0019619560118419375,0.00043317628261484013,0.00013547542501019682,0.00013547542501019682,0.0,0.0
4276,0.0,0.0022224421620449684,0.0022224421620449684,0.00023036869978592092,0.00023036869978592092,0.00023036869978592092,0.0,0.0
4277,0.011984664174843822,0.03045807702148059,0.0005640728646827518,7.134606329770848e-05,7.134606329770848e-05,7.134606329770848e-05,0.0,0.0
4278,0.44640384194209554,0.10116190584836887,0.15821983765846648,0.2250417792756827,0.2250417792756827,0.1899956861859848,0.1410923192345997,0.27096132160542274
4279,0.003567972051926555,0.006429688876958289,0.008226159825183425,0.006542802773284324,0.005998814473691055,0.005998814473691055,0.0,0.0
4280,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.0005143321390983276,0.0005144351520090716,0.0005144351520090716,0.0,0.0
4281,0.0014996831297288827,0.02420176649588336,0.0025066116483246615,0.41472001639676614,0.41422756909032715,0.41422756909032715,0.0,0.0
4282,0.05900910004046164,0.30847700149429885,0.2719858517497226,0.05784765610552759,0.05784765610552759,0.05784765610552759,0.070389327891398,0.12101540096136584
4283,0.014485142672571038,0.03045807702148059,0.0005640728646827518,0.003170573746311275,0.003170573746311275,0.003170573746311275,0.0,0.0
4284,0.0,0.0022224421620449684,0.0019609929066089007,0.00023036869978592092,0.00023036869978592092,0.00023036869978592092,0.0,0.0
4285,0.0036401071646615683,0.010638143579022404,0.0026585254958836893,0.000255379624000837,0.000255379624000837,0.000255379624000837,0.0,0.0
4286,0.004873122819294683,0.02647398041533627,0.0022260712594234246,0.0005523122611082856,0.0005523122611082856,0.0005523122611082856,0.0,0.0
4287,0.009356790258252022,0.0055850833493378575,0.001334016534377864,0.00510888926835055,0.00510888926835055,0.00510888926835055,0.0,0.0
4288,0.0033557948625981735,0.016271612455442,0.4244583020949185,0.01091435855040807,0.00973708318998939,0.00973708318998939,0.019899557437704947,0.01962880674893263
4289,0.0009133872042283336,0.03160067339293664,0.0018218675289606177,0.013112512002859258,0.013112419859360777,0.013112419859360777,0.009159999285475966,0.009102207107252484
4290,0.0,0.03617507814770278,0.0022224421620449684,0.0002436986984038081,0.00024367465754749417,0.00024367465754749417,0.0,0.0
4291,0.011510065860373557,0.004462868488536361,0.0005537855458100516,0.00029810189646330864,0.00029810189646330864,0.00029810189646330864,0.0,0.0
4292,0.017194863153948522,0.004465436770300531,0.014729266043771304,0.0070281185020581675,0.0070281185020581675,0.0070281185020581675,0.0,0.0
